date,USD/KRW,JPY/KRW,EUR/KRW
2026-03-06,1479.510009765625,9.392739295959473,1717.5899658203125
2026-03-09,1483.8900146484375,9.359066009521484,1710.8900146484375
2026-03-10,1464.469970703125,9.280390739440918,1702.199951171875
2026-03-11,1472.780029296875,9.313536643981934,1709.6400146484375
2026-03-12,1475.3399658203125,9.277461051940918,1703.5699462890625
2026-03-13,1470.5799560546875,9.345001220703125,1713.3900146484375
2026-03-16,1501.75,9.414847373962402,1713.8599853515625
2026-03-17,1488.9100341796875,9.360912322998047,1712.22998046875
2026-03-18,1484.8699951171875,9.338547706604004,1713.1199951171875
2026-03-19,1505.25,9.422510147094727,1724.4300537109375
2026-03-20,1489.8399658203125,9.433812141418457,1728.949951171875
2026-03-23,1504.2099609375,9.447454452514648,1740.1600341796875
2026-03-24,1485.3599853515625,9.366003036499023,1724.5799560546875
2026-03-25,1497.31005859375,9.428609848022461,1739.469970703125
2026-03-26,1500.969970703125,9.417532920837402,1735.18994140625
2026-03-27,1508.3599853515625,9.443923950195312,1740.050048828125
2026-03-30,1507.02001953125,9.404561996459961,1736.7099609375
2026-03-31,1516.1300048828125,9.48485279083252,1736.260009765625
2026-04-01,1503.3299560546875,9.480036735534668,1738.510009765625
2026-04-02,1512.0899658203125,9.527196884155273,1752.5899658203125
2026-04-03,1509.219970703125,9.462431907653809,1741.0899658203125
2026-04-06,1509.260009765625,9.445272445678711,1741.239990234375
2026-04-07,1507.8499755859375,9.441943168640137,1741.25
2026-04-08,1499.1300048828125,9.444587707519531,1752.0
2026-04-09,1477.5999755859375,9.313319206237793,1723.010009765625
2026-04-10,1473.280029296875,9.259272575378418,1722.6099853515625
2026-04-13,1482.1800537109375,9.281347274780273,1741.02001953125
2026-04-14,1476.8399658203125,9.275862693786621,1736.6400146484375
2026-04-15,1469.4200439453125,9.253157615661621,1732.9300537109375
2026-04-16,1474.06005859375,9.28134536743164,1739.4100341796875
2026-04-17,1477.9200439453125,9.283329963684082,1740.8399658203125
2026-04-20,1465.1500244140625,9.20522689819336,1731.1800537109375
2026-04-21,1469.260009765625,9.24903392791748,1731.719970703125
2026-04-22,1485.800048828125,9.322813034057617,1743.9200439453125
2026-04-23,1477.9599609375,9.266875267028809,1729.7099609375
2026-04-24,1479.949951171875,9.26291561126709,1729.18994140625
2026-04-27,1474.68994140625,9.240694046020508,1728.02001953125
2026-04-28,1473.0,9.24284553527832,1726.3699951171875
2026-04-29,1471.989990234375,9.225789070129395,1724.3599853515625
2026-04-30,1487.3800048828125,9.284954071044922,1736.5999755859375
2026-05-01,1474.010009765625,9.38931941986084,1727.9100341796875
2026-05-04,1471.72998046875,9.382652282714844,1727.4100341796875
2026-05-05,1476.050048828125,9.389751434326172,1725.1500244140625
2026-05-06,1473.9599609375,9.34631061553955,1727.3699951171875
2026-05-07,1444.449951171875,9.229888916015625,1697.0400390625
2026-05-08,1454.7900390625,9.275602340698242,1705.3299560546875
2026-05-11,1460.550048828125,9.310219764709473,1723.6700439453125
2026-05-12,1474.449951171875,9.371074676513672,1737.5
2026-05-13,1492.989990234375,9.470849990844727,1750.4200439453125
2026-05-14,1489.8399658203125,9.437192916870117,1743.550048828125
2026-05-15,1493.3399658203125,9.431783676147461,1740.219970703125
2026-05-18,1497.1500244140625,9.426324844360352,1737.8599853515625
2026-05-19,1492.3199462890625,9.390259742736816,1733.81005859375
2026-05-20,1507.8499755859375,9.480530738830566,1748.02001953125
2026-05-21,1499.77001953125,9.440711975097656,1738.47998046875
2026-05-22,1504.4000244140625,9.455455780029297,1750.1500244140625
2026-05-25,1512.8299560546875,9.51722526550293,1769.4100341796875
2026-05-26,1514.7900390625,9.529397010803223,1765.199951171875
2026-05-27,1505.43994140625,9.457401275634766,1753.010009765625
2026-05-28,1503.1099853515625,9.414684295654297,1743.1600341796875
2026-05-29,1495.2900390625,9.383105278015137,1739.1400146484375
2026-06-01,1506.8399658203125,9.455424308776855,1755.9000244140625
2026-06-02,1511.27001953125,9.465814590454102,1757.3399658203125
2026-06-03,1516.5999755859375,9.480544090270996,1760.050048828125
2026-06-04,1530.1099853515625,9.565587043762207,1776.739990234375
2026-06-05,1533.0699462890625,9.579889297485352,1778.1199951171875
2026-06-08,1554.47998046875,9.693187713623047,1807.4200439453125
2026-06-09,1528.8800048828125,9.542614936828613,1759.7099609375
2026-06-10,1525.81005859375,9.513023376464844,1761.0999755859375
2026-06-11,1525.050048828125,9.49983024597168,1751.949951171875
2026-06-12,1517.3800048828125,9.478581428527832,1754.260009765625
2026-06-15,1509.5,9.436771392822266,1754.6099853515625
2026-06-16,1513.31005859375,9.430025100708008,1753.9300537109375
2026-06-17,1510.9599609375,9.418404579162598,1755.6500244140625
2026-06-18,1525.4200439453125,9.499933242797852,1755.9000244140625
2026-06-19,1537.56005859375,9.531405448913574,1759.47998046875
2026-06-22,1531.3299560546875,9.485432624816895,1703.52001953125
2026-06-23,1539.050048828125,9.524776458740234,1752.5400390625
2026-06-24,1535.25,9.500458717346191,1740.5699462890625
2026-06-25,1542.760009765625,9.537741661071777,1747.219970703125
2026-06-26,1546.47998046875,9.55688190460205,1754.1800537109375
2026-06-29,1535.239990234375,9.485258102416992,1746.0899658203125
2026-06-30,1541.72998046875,9.520465850830078,1760.27001953125
2026-07-01,1548.6099853515625,9.521539688110352,1763.6800537109375
2026-07-02,1551.81005859375,9.553563117980957,1765.8900146484375
2026-07-03,1542.1300048828125,9.561616897583008,1755.52001953125
2026-07-06,1531.0,9.477782249450684,1746.8599853515625
2026-07-07,1528.760009765625,9.428370475769043,1748.31005859375
2026-07-08,1519.8599853515625,9.362272262573242,1726.5799560546875
